,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,listing_per_host,availability_365,distance,last_review
25436,1250061,Manhattan,Upper West Side,Entire home/apt,260,3,82,2.05,1,12,6366.4575692893995,6
25437,3491890,Manhattan,Upper West Side,Entire home/apt,106,30,14,0.41,6,242,6367.4735209422615,28
25438,6001762,Brooklyn,Bedford-Stuyvesant,Private room,60,7,0,1.3770742181764792,1,365,6376.878349507048,6762
25439,3654281,Manhattan,Little Italy,Entire home/apt,150,7,10,0.44,1,43,6374.765127928644,182
25440,152394865,Brooklyn,Flatlands,Private room,175,2,4,2.18,3,43,6382.8249760832605,20
25441,32124237,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,100,4,4,0.11,1,0,6380.692694561386,988
25442,7257731,Manhattan,Inwood,Entire home/apt,90,7,7,0.15,1,249,6357.762264771908,17
25443,22503794,Brooklyn,South Slope,Private room,95,1,2,0.04,1,364,6380.508945699366,1430
25444,254382567,Manhattan,Washington Heights,Private room,60,1,18,6.07,1,305,6360.052081915623,9
25445,80242044,Manhattan,Greenwich Village,Entire home/apt,196,2,15,0.61,1,0,6373.747195823602,85
25446,160325910,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,115,4,0,1.3770742181764792,1,0,6380.055946767701,6762
25447,2787066,Manhattan,Chelsea,Entire home/apt,126,4,8,0.18,1,0,6372.617154625132,781
25448,156958091,Brooklyn,Bushwick,Private room,65,1,26,2.52,3,0,6375.2763713366285,46
25449,22420381,Manhattan,Chelsea,Entire home/apt,650,7,6,0.13,1,358,6372.702780534105,6
25450,1720071,Brooklyn,Sunset Park,Entire home/apt,135,2,133,2.19,1,296,6381.233014014315,42
25451,222456125,Manhattan,Midtown,Private room,160,3,5,0.62,1,0,6369.574259581505,210
25452,34790915,Queens,Ridgewood,Private room,70,2,0,1.3770742181764792,1,0,6374.358080447866,6762
25453,50760546,Manhattan,Kips Bay,Entire home/apt,150,30,4,0.11,31,156,6371.534819799305,338
25454,1138692,Manhattan,Lower East Side,Entire home/apt,199,1,14,0.15,2,158,6374.492210298989,1449
25455,10415675,Manhattan,Harlem,Private room,58,5,2,0.33,7,314,6362.780247111097,157
25456,1267021,Queens,Jackson Heights,Private room,54,5,56,0.66,3,365,6368.959084151717,2
25457,23390186,Manhattan,Financial District,Private room,100,1,11,0.41,1,0,6376.238087799459,30
25458,156114168,Brooklyn,Prospect-Lefferts Gardens,Shared room,40,1,0,1.3770742181764792,6,245,6380.109622058712,6762
25459,37412692,Manhattan,Midtown,Entire home/apt,115,30,0,1.3770742181764792,4,362,6369.604243492993,6762
25460,178272943,Queens,Jamaica,Private room,65,1,0,1.3770742181764792,4,74,6374.373866579782,6762
25461,3012457,Manhattan,East Village,Entire home/apt,200,2,3,0.16,1,0,6373.896202557569,363
25462,7505535,Queens,Ridgewood,Private room,149,1,0,1.3770742181764792,1,180,6373.874694665653,6762
25463,3281798,Manhattan,East Village,Entire home/apt,180,3,8,0.42,1,10,6373.238650388266,29
25464,71149842,Manhattan,East Village,Private room,80,1,8,0.31,2,0,6373.296176632356,406
